scope,scene_id,cluster_id,profile,method,si_sdr_db,spectral_error_db,coherence,ild_error_db,ic_error
single_scene,plus-test-0013,speaker-pair-1,strict,plus,15.450886148048987,5.756999092187738,0.6939906472569931,0.587691576595873,0.06060714777938682
single_scene,plus-test-0013,speaker-pair-1,strict,plus_no_denoiser,15.53586643602769,5.492868703575678,0.6960576081835271,0.5016972488434605,0.06734119470399327
single_scene,plus-test-0014,speaker-pair-1,strict,linear_default,18.33018026310196,,,2.9211050392079896,0.09790436290565191
single_scene,plus-test-0014,speaker-pair-1,strict,linear_tuned,18.556052384581054,,,2.925797812442159,0.09727602326138611
single_scene,plus-test-0014,speaker-pair-1,strict,linear_noise,18.550635804305816,,,2.9172907705851747,0.09919509175024838
single_scene,plus-test-0014,speaker-pair-1,strict,adeps_current,4.18466517635639,13.727254955448803,0.13317665839735182,3.7835393758497506,0.22445765351292493
single_scene,plus-test-0014,speaker-pair-1,strict,adeps_tuned,9.371010194067752,13.342808873348478,0.20899879423272283,3.317665177741787,0.1833153440763122
single_scene,plus-test-0014,speaker-pair-1,strict,spatial_only,26.580957264413332,3.152977249580647,0.8681758893139347,0.4346861201037555,0.054575446936984566
single_scene,plus-test-0014,speaker-pair-1,strict,consistency_only,19.088827081452536,7.342596585580654,0.623281506052576,2.689339276427253,0.0834289657181217
single_scene,plus-test-0014,speaker-pair-1,strict,plus,26.747722291346992,3.782898429970475,0.8504355538672749,0.6644870966339675,0.06389382951566581
single_scene,plus-test-0014,speaker-pair-1,strict,plus_no_denoiser,27.029070278124344,3.024878938666451,0.8731458485726591,0.425240183291273,0.054086579476793024
single_scene,plus-test-0015,speaker-pair-1,strict,linear_default,5.892397349625663,,,2.4630485352681957,0.07112676627110363
single_scene,plus-test-0015,speaker-pair-1,strict,linear_tuned,10.195151817675,,,2.451804816822623,0.070887910545349
single_scene,plus-test-0015,speaker-pair-1,strict,linear_noise,10.191269023166042,,,2.4462717814601964,0.06993438659161993
single_scene,plus-test-0015,speaker-pair-1,strict,adeps_current,4.039401426171982,10.295827752184678,0.14593373691701805,4.283682299753924,0.31291229292472594
single_scene,plus-test-0015,speaker-pair-1,strict,adeps_tuned,11.71621198002132,9.036801291245245,0.2430442178824412,3.708032105902727,0.23566899456674997
single_scene,plus-test-0015,speaker-pair-1,strict,spatial_only,12.607401654739864,4.8486289906980975,0.7248856305841223,0.6437763263671594,0.05400107456010566
single_scene,plus-test-0015,speaker-pair-1,strict,consistency_only,20.47970835324333,7.21521761772958,0.5782212490595761,2.1642424304324193,0.08348082586706317
single_scene,plus-test-0015,speaker-pair-1,strict,plus,24.041885110974935,5.33859363530069,0.7031237848765907,0.7862815431359798,0.05402689002799477
single_scene,plus-test-0015,speaker-pair-1,strict,plus_no_denoiser,24.306376083805855,4.627260043307014,0.7259362964511799,0.6170969975548735,0.054637041310577825
single_scene,plus-test-0016,speaker-pair-2,strict,linear_default,8.866956680217083,,,2.4108195789346545,0.07266452317713333
single_scene,plus-test-0016,speaker-pair-2,strict,linear_tuned,13.207664852808549,,,2.409438382239637,0.07135908291080852
single_scene,plus-test-0016,speaker-pair-2,strict,linear_noise,13.204038983330383,,,2.410666366775698,0.07127124553638363
single_scene,plus-test-0016,speaker-pair-2,strict,adeps_current,5.758729831088978,8.680335042622922,0.15391056615738838,3.783111223319584,0.31287821143802624
